Category,,Taxa,ref,memo,memo2,checked_date,GBIF_link (using rgbif),Convert to hex grid
raven,1,Corvus albicollis,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,2,Corvus corax,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,https://doi.org/10.15468/dl.mmdkg9,
raven,3,Corvus coronoides,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,4,Corvus crassirostris,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,5,Corvus cryptoleucus,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,6,Corvus mellori ,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,7,Corvus rhipidurus,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
raven,8,Corvus ruficollis,https://en.wikipedia.org/wiki/Raven,,,2022/9/20,,
skunk,1,Conepatus,https://en.wikipedia.org/wiki/Skunk,Mydaus以外のMephitidae？,,2022/9/20,https://doi.org/10.15468/dl.y3tmgs,
skunk,2,Mephitis,https://en.wikipedia.org/wiki/Skunk,Mydaus以外のMephitidae？,,2022/9/20,https://doi.org/10.15468/dl.ghnyu2,
skunk,3,Spilogale,https://en.wikipedia.org/wiki/Skunk,Mydaus以外のMephitidae？,,2022/9/20,https://doi.org/10.15468/dl.fk565c,
mink,1,Neogale vison,https://en.wikipedia.org/wiki/Mink,,,2022/9/20,https://doi.org/10.15468/dl.jq65vu,
mink,3,Mustela lutreola,https://en.wikipedia.org/wiki/Mink,,,2022/9/20,https://doi.org/10.15468/dl.gsxhyu,
rabbit,1,Leporidae,https://en.wikipedia.org/wiki/Rabbit,,もとデータはrabbit or hare なので Lepus も含める,2022/9/20,https://doi.org/10.15468/dl.95cmbh,
owl,1,Strigiformes,https://en.wikipedia.org/wiki/Owl,,,2022/9/20,https://doi.org/10.15468/dl.cn85f3,
hawk,1,Accipitridae,https://en.wikipedia.org/wiki/Hawk,,,2022/9/20,https://doi.org/10.15468/dl.ddgyxt,
water bird,NA,NA,https://en.wikipedia.org/wiki/Water_bird,分けられない、生息地ベースで分類群ではない,そもそも10点くらいしかないので、無視してもいいかもしれない,2022/9/20,N.A.,
opossum,1,Didelphimorphia,https://en.wikipedia.org/wiki/Opossum,,,2022/9/20,https://doi.org/10.15468/dl.edypnu,
rat,1,Rattus,https://en.wikipedia.org/wiki/Rat,ステレオタイプラットはRattusのみ,,2022/9/20,https://doi.org/10.15468/dl.xvfjar,
