,hex_index2,Species,Annu_Mean_Temp,Annu_Prec
0,82a847fffffffff,anteater,25.055918375651043,1032.0
1,82b34ffffffffff,anteater,22.49401346842448,583.0
3,825f2ffffffffff,anteater,26.4215087890625,1672.0
4,82a85ffffffffff,anteater,25.209452311197918,1159.0
7,826657fffffffff,anteater,26.627390543619793,2580.0
10,82a81ffffffffff,anteater,21.577311197916668,1047.0
12,82660ffffffffff,anteater,21.504501342773438,1528.0
44,826627fffffffff,anteater,26.22890997992621,1139.9333333333334
45,828adffffffffff,anteater,26.92528788248698,1861.0
47,82a8e7fffffffff,anteater,23.021011352539062,1083.0
49,82a86ffffffffff,anteater,26.108016967773438,620.0
52,82a857fffffffff,anteater,23.131688435872395,1222.0
54,82a8affffffffff,anteater,19.76654052734375,1213.0
61,82b367fffffffff,anteater,24.327346801757812,416.0
62,828b9ffffffffff,anteater,26.16442362467448,1915.0
64,82a877fffffffff,anteater,22.308268229166668,1318.0
67,82a88ffffffffff,anteater,21.892440795898438,857.0
70,826667fffffffff,anteater,27.780487060546875,1973.0
72,828b67fffffffff,anteater,2.344395955403646,740.0
73,82a96ffffffffff,anteater,21.010121663411457,1026.0
75,828b47fffffffff,anteater,24.761454264322918,1391.0
77,8266c7fffffffff,anteater,22.814646402994793,2216.0
92,8266e7fffffffff,anteater,18.58447774251302,1709.0
124,82661ffffffffff,anteater,19.70062255859375,2289.0
126,825f17fffffffff,anteater,25.396011352539062,2697.0
132,82a8c7fffffffff,anteater,22.769058227539062,1372.0
144,82a8d7fffffffff,anteater,21.434483846028645,1085.0
145,828147fffffffff,anteater,25.90039571126302,1562.0
149,82a947fffffffff,anteater,21.503275553385418,1362.0
151,828f4ffffffffff,anteater,26.286000569661457,1560.0
171,826677fffffffff,anteater,27.191848754882812,1901.0
177,825f0ffffffffff,anteater,27.009546915690105,1946.0
178,82b347fffffffff,anteater,23.442164103190105,1005.0
179,828a77fffffffff,anteater,26.144546508789062,2269.0
181,82a8effffffffff,anteater,23.050023396809895,1300.0
182,828b77fffffffff,anteater,25.428446451822918,1617.0
184,82b267fffffffff,anteater,21.1728515625,526.0
198,826647fffffffff,anteater,27.224232991536457,2777.0
231,8266effffffffff,anteater,27.01788330078125,2617.0
233,82a8f7fffffffff,anteater,20.87164815266927,1257.0
235,82a95ffffffffff,anteater,22.470316569010418,1362.0
236,828a47fffffffff,anteater,26.28838602701823,2751.0
247,82b36ffffffffff,anteater,24.401646931966145,603.0
284,82a84ffffffffff,anteater,26.51849873860677,1067.0
285,82a817fffffffff,anteater,18.392064412434895,2168.0
291,82675ffffffffff,anteater,26.939478556315105,1339.0
333,828b0ffffffffff,anteater,26.64300537109375,1297.0
342,82a807fffffffff,anteater,17.603953043619793,1165.0
361,8266d7fffffffff,anteater,25.40796407063802,2813.0
362,82a94ffffffffff,anteater,23.123082478841145,900.0
364,828a6ffffffffff,anteater,26.228256225585938,2736.0
365,8266dffffffffff,anteater,24.891774495442707,3448.0
370,8266cffffffffff,anteater,25.832499186197918,2644.0
385,82485ffffffffff,anteater,18.845923529730904,205.44444444444446
392,82a8dffffffffff,anteater,24.219833374023438,1259.0
397,822697fffffffff,anteater,4.477813720703125,359.0
407,828167fffffffff,anteater,26.891977945963543,1354.0
415,826607fffffffff,anteater,27.876108805338543,1379.0
416,825f07fffffffff,anteater,26.082667032877605,2117.0
421,825f37fffffffff,anteater,25.188247680664062,2021.0
438,828ba7fffffffff,anteater,24.923985799153645,1242.0
484,828a4ffffffffff,anteater,25.90436299641927,2747.0
530,82665ffffffffff,anteater,25.817372639973957,3081.0
692,828a17fffffffff,anteater,26.02373758951823,1748.0
695,825f77fffffffff,anteater,22.569183349609375,1985.0
702,82a8a7fffffffff,anteater,20.923271872780543,1531.2727272727273
703,82c35ffffffffff,anteater,15.764236450195312,872.0
712,826637fffffffff,anteater,27.42683762770433,1101.8461538461538
722,82815ffffffffff,anteater,25.958786010742188,1340.0
825,82489ffffffffff,anteater,18.828867594401043,747.0
827,82446ffffffffff,anteater,19.20403544108073,1174.0
873,82674ffffffffff,anteater,26.456583658854168,1031.0
913,828a97fffffffff,anteater,25.329376220703125,1451.0
947,82a8cffffffffff,anteater,25.5411376953125,1309.0
995,826d27fffffffff,anteater,23.483083089192707,3462.0
1083,82811ffffffffff,anteater,21.90557861328125,423.0
1085,828b6ffffffffff,anteater,25.199081420898438,1589.0
1086,828af7fffffffff,anteater,26.67656962076823,2060.0
1115,828f67fffffffff,anteater,25.9490966796875,2380.0
1117,8266f7fffffffff,anteater,25.743616739908855,5685.0
