nid,lat,lng,TrickSter,Annu_Mean_Temp,Annu_Prec,hex_index,presence,Norm_Annu_Mean_Temp,Norm_Annu_Prec
103918,68.72,158.7,raven,-13.231119791666666,173.0,8104fffffffffff,1,0.050404921628665,0.0257013007365616
103817,64.95187,64.64844,raven,-4.123443603515625,473.0,81107ffffffffff,1,0.2499754527094357,0.0727158752546622
3926,57.82907,-152.98389,raven,3.2712198893229165,1499.0,810c7ffffffffff,1,0.4120098608221564,0.2335057201065663
2434,51.0,-112.5,raven,3.957417805989584,342.0,8112fffffffffff,1,0.427046065428755,0.0521861777150916
2439,40.0,-103.0,raven,9.747085571289062,395.0,8126bffffffffff,1,0.5539112554983423,0.0604920858799561
2401,58.0,-136.0,raven,3.951761881510417,1900.0,8113bffffffffff,1,0.4269221308675407,0.2963485347124275
2351,52.5,138.0,raven,-3.247675577799479,519.0,8114fffffffffff,1,0.2691655827036391,0.079924776680771
2381,61.5,-152.0,raven,-1.2713165283203125,644.0,810c7ffffffffff,1,0.3124722415003125,0.0995141827299796
2369,60.0,-106.0,raven,-5.6440989176432295,377.0,81137ffffffffff,1,0.2166543307940493,0.05767121140887
2019,-34.0,145.0,raven,17.464752197265625,335.0,81be7ffffffffff,1,0.7230234192854437,0.0510891709763359
2474,46.0,-117.0,raven,8.223836263020834,435.0,8128bffffffffff,1,0.5205332930917516,0.0667606958157028
2341,67.132,156.587,raven,-12.98211669921875,209.0,8104fffffffffff,1,0.0558611629765113,0.0313430496787337
2395,77.5,-68.0,raven,-15.531417846679688,146.0,81037ffffffffff,1,0.0,0.0214699890299326
2420,58.0,-94.0,raven,-5.844579060872396,405.0,810ebffffffffff,1,0.2122613409875555,0.0620592383638928
2361,67.48427,174.6875,raven,-11.451146443684896,286.0,810dbffffffffff,1,0.0894083094333927,0.0434101238050462
2185,25.0,109.0,raven,19.681599934895832,1531.0,81403ffffffffff,0,0.7715997488764806,0.2385206080551637
2389,68.77683,-160.64844,raven,-8.343276977539062,214.0,810d3ffffffffff,1,0.1575090133973037,0.032126625920702
2379,60.5,-129.0,raven,-3.697418212890625,451.0,8113bffffffffff,1,0.2593106675001785,0.0692681397900015
2402,53.0,-132.0,raven,6.8061370849609375,2923.0,8112bffffffffff,1,0.4894681814174613,0.4566682338191506
2354,54.04496,158.0,raven,-3.133539835611979,792.0,81163ffffffffff,1,0.2716665643166318,0.1227080394922426
2382,62.0,-160.0,raven,-1.4669850667317708,444.0,810c3ffffffffff,1,0.3081846852324056,0.0681711330512458
2372,64.0,-142.0,raven,-6.140909830729167,234.0,810d7ffffffffff,1,0.2057680393050881,0.0352609308885754
2020,-14.0,133.0,raven,26.693888346354168,875.0,81947ffffffffff,1,0.9252554227779018,0.1357154051089171
2475,47.6,-124.0,raven,8.0732421875,2696.0,8128fffffffffff,1,0.5172334239474784,0.4210938724337878
2342,43.0,143.0,raven,6.180394490559896,1041.0,812e3ffffffffff,1,0.4757566946117554,0.1617301363422661
2396,65.0,-66.0,raven,-8.733484903971354,604.0,810f3ffffffffff,1,0.1489586431929555,0.0932455727942328
2362,65.0,-173.0,raven,-5.782135009765625,524.0,810dbffffffffff,1,0.2136296364983716,0.0807083529227393
2188,23.0,102.0,raven,17.639628092447918,1280.0,81407ffffffffff,1,0.7268553600081672,0.1991850807083529
2390,69.5,-135.0,raven,-10.349446614583334,193.0,810d7ffffffffff,1,0.1135491347595541,0.028835605704435
2380,62.0,-145.0,raven,-2.7633463541666665,337.0,810c7ffffffffff,1,0.279778371123158,0.0514026014731233
2403,54.5,-129.0,raven,4.1586252848307295,1620.0,8112bffffffffff,1,0.4314549928631748,0.2524682651622003
2355,62.6,178.0,raven,-5.031509399414063,533.0,81177ffffffffff,1,0.230077602873766,0.0821187901582824
2383,62.5,-155.0,raven,-2.5831451416015625,430.0,810c3ffffffffff,1,0.2837270020307658,0.0659771195737345
2373,62.8,-142.0,raven,-4.7641957600911455,302.0,810c7ffffffffff,1,0.2359350712183491,0.0459175677793449
2022,-27.0,117.0,raven,21.819875081380207,226.0,81a73ffffffffff,1,0.8184543688437428,0.0340072089014261
2477,45.5,-124.0,raven,10.183415730794271,2005.0,8128fffffffffff,1,0.5634722719266931,0.3128036357937627
2343,36.0,140.0,raven,14.496668497721354,1281.0,812f7ffffffffff,0,0.6579857490857874,0.1993417959567466
2397,67.0,-53.0,raven,-5.114720662434896,440.0,8106fffffffffff,1,0.2282542490774843,0.0675442720576712
2364,53.61074,-166.44043,raven,3.5623575846354165,1433.0,8122fffffffffff,1,0.4183893700702715,0.2231625137125842
2190,29.0,115.0,raven,14.919219970703123,1589.0,8141bffffffffff,0,0.6672448421990939,0.2476100924619965
2391,68.5,-108.0,raven,-13.12157694498698,133.0,8102fffffffffff,1,0.0528052621366429,0.0194326908008149
2404,51.7,-128.0,raven,8.053532918294271,2769.0,8112bffffffffff,1,0.5168015476662687,0.4325340855665256
2356,63.0,165.0,raven,-8.955169677734375,350.0,81177ffffffffff,1,0.1441010102338518,0.053439899702241
2384,65.6,-154.0,raven,-3.869537353515625,423.0,810c3ffffffffff,1,0.2555391337308527,0.0648801128349788
2374,61.8,-137.5,raven,-4.4833424886067705,239.0,8113bffffffffff,1,0.2420892246366304,0.0360445071305438
2398,66.0,-37.0,raven,-3.4263102213541665,839.0,81063ffffffffff,1,0.265251278994641,0.130073656166745
2346,44.93782,135.15918,raven,-0.5780690511067709,759.0,812efffffffffff,1,0.3276629185006547,0.1175364362952515
2365,60.0,-160.0,raven,-0.5447336832682291,635.0,810cfffffffffff,1,0.3283933745386028,0.0981037454944366
2463,52.0,-124.0,raven,2.4364166259765625,355.0,8112bffffffffff,1,0.3937173647812081,0.0542234759442093
2313,68.06576,70.86719,raven,-7.956110636393229,327.0,810b7ffffffffff,1,0.1659927353394163,0.0498354489891866
2392,68.5,-97.0,raven,-8.688028971354166,126.0,810fbffffffffff,1,0.1499546892123546,0.0183356840620592
2405,51.0,-127.3,raven,8.44482421875,1732.0,8112bffffffffff,1,0.5253756571345906,0.2700203729822912
2357,60.0,165.0,raven,-4.349324544270833,482.0,81177ffffffffff,1,0.2450258718969132,0.0741263124902052
2385,64.5,-147.5,raven,-2.570958455403646,325.0,810d7ffffffffff,1,0.2839940408874828,0.0495220184923993
2375,60.0,-134.0,raven,-0.5200856526692709,291.0,8113bffffffffff,1,0.3289334706569879,0.0441937000470145
2399,59.0,-70.0,raven,-5.122111002604167,406.0,810e3ffffffffff,1,0.2280923094035236,0.0622159536122864
