nid,lat,lng,TrickSter,hex_index,Presence,Annu_Mean_Temp,Annu_Prec
103918,68.72,158.7,raven,8204c7fffffffff,TRUE,-11.83068339,156
103817,64.95187,64.64844,raven,82104ffffffffff,TRUE,-5.570597331,566
3926,57.82907,-152.98389,raven,820ceffffffffff,TRUE,2.09487915,822
2434,51,-112.5,raven,8212effffffffff,TRUE,2.942942301,441
2439,40,-103,raven,8226affffffffff,TRUE,9.624740601,413
2401,58,-136,raven,821d27fffffffff,TRUE,,
2351,52.5,138,raven,8214c7fffffffff,TRUE,-4.170750936,588
2381,61.5,-152,raven,820c77fffffffff,TRUE,-1.844350179,593
2369,60,-106,raven,82135ffffffffff,TRUE,-6.210454305,337
2019,-34,145,raven,82be57fffffffff,TRUE,16.6493988,433
2474,46,-117,raven,82288ffffffffff,TRUE,11.75959778,289
2341,67.132,156.587,raven,8204d7fffffffff,FALSE,-12.7335612,212
2395,77.5,-68,raven,82034ffffffffff,FALSE,-21.85302226,189
2420,58,-94,raven,820e87fffffffff,TRUE,,
2361,67.48427,174.6875,raven,820d97fffffffff,TRUE,-11.38772074,303
2185,25,109,raven,824027fffffffff,FALSE,20.23096212,1514
2389,68.77683,-160.64844,raven,820d1ffffffffff,TRUE,-9.139826457,165
2379,60.5,-129,raven,82138ffffffffff,TRUE,-2.561325073,453
2402,53,-132,raven,821297fffffffff,TRUE,6.829925537,2589
2354,54.04496,158,raven,821617fffffffff,TRUE,,
2382,62,-160,raven,820c1ffffffffff,TRUE,-1.731750488,426
2372,64,-142,raven,820d4ffffffffff,TRUE,-7.149953206,322
2020,-14,133,raven,82945ffffffffff,TRUE,26.99879964,1085
2475,47.6,-124,raven,8228c7fffffffff,TRUE,,
2342,43,143,raven,822e1ffffffffff,TRUE,,
2396,65,-66,raven,820f0ffffffffff,TRUE,-9.459554036,563
2362,65,-173,raven,820d8ffffffffff,TRUE,-7.235351563,320
2188,23,102,raven,824067fffffffff,FALSE,20.41007487,1396
2390,69.5,-135,raven,820d67fffffffff,TRUE,-9.928710938,212
2380,62,-145,raven,820c67fffffffff,TRUE,-3.69434611,359
2403,54.5,-129,raven,821287fffffffff,TRUE,2.959269206,1400
2355,62.6,178,raven,82176ffffffffff,TRUE,-10.34432983,265
2383,62.5,-155,raven,820c0ffffffffff,TRUE,-2.41468811,445
2373,62.8,-142,raven,820c67fffffffff,TRUE,-3.69434611,359
2022,-27,117,raven,82a717fffffffff,TRUE,20.96265157,236
2477,45.5,-124,raven,8228f7fffffffff,TRUE,11.43285624,1112
2343,36,140,raven,822f5ffffffffff,FALSE,,
2397,67,-53,raven,8206d7fffffffff,TRUE,-4.951543172,419
2364,53.61074,-166.44043,raven,8222d7fffffffff,TRUE,3.973531087,1337
2190,29,115,raven,82418ffffffffff,FALSE,17.11391195,1460
2391,68.5,-108,raven,8202dffffffffff,TRUE,-13.64007568,125
2404,51.7,-128,raven,82129ffffffffff,TRUE,8.168497721,2545
2356,63,165,raven,821777fffffffff,FALSE,-8.715215047,346
2384,65.6,-154,raven,820c2ffffffffff,TRUE,-3.628000895,319
2374,61.8,-137.5,raven,8213b7fffffffff,TRUE,-4.649500529,252
2398,66,-37,raven,82060ffffffffff,TRUE,-6.036443075,740
2346,44.93782,135.15918,raven,822ecffffffffff,TRUE,2.105794271,714
2365,60,-160,raven,820ce7fffffffff,TRUE,-0.286905924,536
2463,52,-124,raven,82128ffffffffff,TRUE,0.751530965,375
2313,68.06576,70.86719,raven,820b77fffffffff,TRUE,-7.132400513,371
2392,68.5,-97,raven,820f97fffffffff,TRUE,-13.51266479,166
2405,51,-127.3,raven,82129ffffffffff,TRUE,8.168497721,2545
2357,60,165,raven,821757fffffffff,TRUE,-5.199249268,458
2385,64.5,-147.5,raven,820d5ffffffffff,TRUE,-4.609278361,262
2375,60,-134,raven,821387fffffffff,TRUE,-4.85774231,347
2399,59,-70,raven,820e2ffffffffff,TRUE,-6.180806478,377
2347,48,138,raven,822ed7fffffffff,TRUE,,
2366,60.06712,-166.4397,raven,820caffffffffff,TRUE,,
2467,48,-122,raven,8228d7fffffffff,TRUE,5.364919027,1867
2329,71,83,raven,820b5ffffffffff,FALSE,-10.10112,398
2393,65,-97,raven,82136ffffffffff,TRUE,-11.01987203,222
2406,49,-125.5,raven,8228dffffffffff,TRUE,9.138112386,1037
2358,65.49,151.07,raven,82048ffffffffff,FALSE,-12.06045532,216
